user_id,cohort_month,country,plan_tier,channel,months_since_acquisition,is_retained
1,2025-06,Country A,Basic,Referral,0,True
1,2025-06,Country A,Basic,Referral,1,True
1,2025-06,Country A,Basic,Referral,2,True
1,2025-06,Country A,Basic,Referral,3,True
1,2025-06,Country A,Basic,Referral,4,True
1,2025-06,Country A,Basic,Referral,5,True
1,2025-06,Country A,Basic,Referral,6,True
2,2025-06,Country A,Basic,Referral,0,True
2,2025-06,Country A,Basic,Referral,1,True
2,2025-06,Country A,Basic,Referral,2,True
2,2025-06,Country A,Basic,Referral,3,True
2,2025-06,Country A,Basic,Referral,4,True
2,2025-06,Country A,Basic,Referral,5,True
2,2025-06,Country A,Basic,Referral,6,True
3,2025-06,Country A,Basic,Referral,0,True
3,2025-06,Country A,Basic,Referral,1,True
3,2025-06,Country A,Basic,Referral,2,True
3,2025-06,Country A,Basic,Referral,3,True
3,2025-06,Country A,Basic,Referral,4,True
3,2025-06,Country A,Basic,Referral,5,True
3,2025-06,Country A,Basic,Referral,6,True
4,2025-06,Country B,Basic,Organic,0,True
4,2025-06,Country B,Basic,Organic,1,True
4,2025-06,Country B,Basic,Organic,2,False
4,2025-06,Country B,Basic,Organic,3,False
4,2025-06,Country B,Basic,Organic,4,False
4,2025-06,Country B,Basic,Organic,5,False
4,2025-06,Country B,Basic,Organic,6,False
5,2025-06,Country A,Premium,Organic,0,True
5,2025-06,Country A,Premium,Organic,1,True
5,2025-06,Country A,Premium,Organic,2,True
5,2025-06,Country A,Premium,Organic,3,True
5,2025-06,Country A,Premium,Organic,4,True
5,2025-06,Country A,Premium,Organic,5,True
5,2025-06,Country A,Premium,Organic,6,True
6,2025-06,Country A,Basic,Organic,0,True
6,2025-06,Country A,Basic,Organic,1,True
6,2025-06,Country A,Basic,Organic,2,True
6,2025-06,Country A,Basic,Organic,3,True
6,2025-06,Country A,Basic,Organic,4,True
6,2025-06,Country A,Basic,Organic,5,True
6,2025-06,Country A,Basic,Organic,6,True
7,2025-06,Country A,Basic,Paid,0,True
7,2025-06,Country A,Basic,Paid,1,True
7,2025-06,Country A,Basic,Paid,2,False
7,2025-06,Country A,Basic,Paid,3,False
7,2025-06,Country A,Basic,Paid,4,False
7,2025-06,Country A,Basic,Paid,5,False
7,2025-06,Country A,Basic,Paid,6,False
8,2025-06,Country A,Premium,Paid,0,True
8,2025-06,Country A,Premium,Paid,1,True
8,2025-06,Country A,Premium,Paid,2,True
8,2025-06,Country A,Premium,Paid,3,True
8,2025-06,Country A,Premium,Paid,4,True
8,2025-06,Country A,Premium,Paid,5,True
8,2025-06,Country A,Premium,Paid,6,True
9,2025-06,Country A,Premium,Organic,0,True
9,2025-06,Country A,Premium,Organic,1,True
9,2025-06,Country A,Premium,Organic,2,True
9,2025-06,Country A,Premium,Organic,3,True
9,2025-06,Country A,Premium,Organic,4,True
9,2025-06,Country A,Premium,Organic,5,True
9,2025-06,Country A,Premium,Organic,6,True
10,2025-06,Country B,Basic,Partnership,0,True
